employee_number,attrition_probability,risk_tier
1922,0.0071,Low
1924,0.1564,Low
1927,0.1036,Low
1928,0.9902,High
1929,0.162,Low
1931,0.0325,Low
1932,0.0344,Low
1933,0.9491,High
1934,0.0135,Low
1935,0.1346,Low
1936,0.0514,Low
1937,0.0102,Low
1938,0.0169,Low
1939,0.9719,High
1940,0.0041,Low
1941,0.0054,Low
1943,0.0519,Low
1944,0.9353,High
1945,0.0848,Low
1947,0.0305,Low
1948,0.0245,Low
1949,0.1277,Low
1950,0.3731,Medium
1951,0.0894,Low
1952,0.038,Low
1954,0.0067,Low
1955,0.0085,Low
1956,0.0876,Low
1960,0.9304,High
1961,0.5776,High
1962,0.0443,Low
1965,0.1087,Low
1966,0.0736,Low
1967,0.9219,High
1968,0.9679,High
1969,0.013,Low
1970,0.0041,Low
1971,0.0327,Low
1972,0.0235,Low
1973,0.0144,Low
1974,0.8877,High
1975,0.0212,Low
1976,0.0081,Low
1979,0.0236,Low
1980,0.0762,Low
1981,0.0226,Low
1982,0.0406,Low
1985,0.0278,Low
1986,0.0074,Low
1987,0.2337,Low
1989,0.0173,Low
1992,0.2625,Medium
1993,0.0779,Low
1994,0.0481,Low
1995,0.0223,Low
1996,0.032,Low
1997,0.0501,Low
1998,0.0809,Low
1999,0.0077,Low
2000,0.016,Low
2003,0.2396,Low
2007,0.0069,Low
2008,0.0246,Low
2009,0.1017,Low
2010,0.3074,Medium
2012,0.0794,Low
2013,0.0276,Low
2014,0.0472,Low
2015,0.0014,Low
2016,0.0202,Low
2017,0.0048,Low
2018,0.0596,Low
2019,0.1735,Low
2020,0.1593,Low
2021,0.8948,High
2022,0.0018,Low
2023,0.9818,High
2024,0.0133,Low
2025,0.0359,Low
2026,0.0043,Low
2027,0.0654,Low
2031,0.0424,Low
2032,0.0614,Low
2034,0.0571,Low
2035,0.0255,Low
2036,0.0955,Low
2037,0.0185,Low
2038,0.0507,Low
2040,0.1988,Low
2041,0.0261,Low
2044,0.9102,High
2045,0.1025,Low
2046,0.2126,Low
2048,0.0049,Low
2049,0.0198,Low
2051,0.0025,Low
2052,0.0082,Low
2053,0.2759,Medium
2054,0.2374,Low
2055,0.9457,High
2056,0.0833,Low
2057,0.0333,Low
2060,0.1645,Low
2061,0.0661,Low
2062,0.0799,Low
2064,0.0628,Low
2065,0.0486,Low
2068,0.2137,Low
