employee_number,department,job_role,over_time,tenure_band,salary_band,monthly_income,annual_salary,attrition_probability,risk_tier,flagged
2036,Sales,Sales Executive,No,10+ yrs,High,5406,64872,0.0955,Low,No
493,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2657,31884,0.0953,Low,No
260,Research & Development,Research Scientist,No,5-10 yrs,Low,2279,27348,0.0953,Low,No
1507,Sales,Sales Executive,No,2-5 yrs,Mid,4898,58776,0.0953,Low,No
936,Sales,Sales Executive,No,5-10 yrs,High,6244,74928,0.0953,Low,No
1893,Research & Development,Research Scientist,Yes,0-2 yrs,Low,2933,35196,0.0951,Low,No
1387,Sales,Sales Executive,No,5-10 yrs,Mid,4724,56688,0.0949,Low,No
205,Sales,Sales Representative,Yes,5-10 yrs,Low,2306,27672,0.0934,Low,No
1813,Research & Development,Research Scientist,No,2-5 yrs,Low,2438,29256,0.0934,Low,No
329,Sales,Manager,Yes,10+ yrs,Very High,19068,228816,0.0929,Low,No
1706,Sales,Sales Executive,Yes,10+ yrs,High,7847,94164,0.0915,Low,No
1535,Sales,Sales Executive,Yes,10+ yrs,High,7083,84996,0.0915,Low,No
945,Research & Development,Research Scientist,No,0-2 yrs,Low,2259,27108,0.0915,Low,No
1588,Sales,Sales Executive,No,5-10 yrs,High,8237,98844,0.0911,Low,No
281,Research & Development,Laboratory Technician,Yes,5-10 yrs,Low,2741,32892,0.0906,Low,No
207,Sales,Sales Executive,No,5-10 yrs,Very High,8998,107976,0.0903,Low,No
1585,Sales,Sales Executive,No,0-2 yrs,High,6815,81780,0.0901,Low,No
1399,Sales,Sales Executive,No,2-5 yrs,High,6232,74784,0.09,Low,No
1640,Research & Development,Research Scientist,No,5-10 yrs,Mid,3936,47232,0.0896,Low,No
1951,Sales,Sales Executive,No,5-10 yrs,High,8628,103536,0.0894,Low,No
930,Research & Development,Research Scientist,No,2-5 yrs,Low,2377,28524,0.0893,Low,No
458,Sales,Sales Executive,No,5-10 yrs,High,6214,74568,0.0891,Low,No
1132,Research & Development,Laboratory Technician,No,5-10 yrs,High,6782,81384,0.0888,Low,No
1709,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2974,35688,0.0888,Low,No
334,Research & Development,Research Scientist,No,0-2 yrs,Low,3072,36864,0.0886,Low,No
1746,Human Resources,Human Resources,No,2-5 yrs,Low,2145,25740,0.0886,Low,No
666,Sales,Sales Representative,Yes,5-10 yrs,Low,2579,30948,0.0884,Low,No
1956,Research & Development,Research Scientist,No,10+ yrs,Mid,5003,60036,0.0876,Low,No
699,Research & Development,Manufacturing Director,Yes,2-5 yrs,Very High,8847,106164,0.0873,Low,No
1301,Research & Development,Research Scientist,No,2-5 yrs,Low,2080,24960,0.0872,Low,No
1563,Human Resources,Human Resources,No,5-10 yrs,High,6077,72924,0.0871,Low,No
397,Research & Development,Research Scientist,No,5-10 yrs,Mid,4485,53820,0.0869,Low,No
351,Research & Development,Laboratory Technician,Yes,5-10 yrs,Low,2593,31116,0.0867,Low,No
1239,Sales,Sales Executive,No,5-10 yrs,High,6852,82224,0.0864,Low,No
1402,Research & Development,Research Scientist,Yes,10+ yrs,Mid,4081,48972,0.0864,Low,No
306,Research & Development,Research Director,Yes,10+ yrs,Very High,12185,146220,0.0862,Low,No
585,Sales,Sales Representative,No,2-5 yrs,Low,2983,35796,0.0858,Low,No
586,Research & Development,Healthcare Representative,Yes,5-10 yrs,High,7632,91584,0.0858,Low,No
159,Research & Development,Research Scientist,No,10+ yrs,Low,2613,31356,0.0855,Low,No
314,Sales,Sales Executive,No,10+ yrs,High,8789,105468,0.0851,Low,No
568,Sales,Manager,No,0-2 yrs,Very High,14118,169416,0.0849,Low,No
1148,Research & Development,Laboratory Technician,No,0-2 yrs,Mid,4272,51264,0.0849,Low,No
1317,Research & Development,Research Director,Yes,2-5 yrs,Very High,16880,202560,0.0849,Low,No
1945,Sales,Sales Executive,No,5-10 yrs,High,5561,66732,0.0848,Low,No
470,Human Resources,Human Resources,Yes,2-5 yrs,Low,2696,32352,0.0848,Low,No
305,Research & Development,Research Scientist,No,2-5 yrs,Low,2622,31464,0.0847,Low,No
1150,Research & Development,Manufacturing Director,Yes,10+ yrs,Mid,5056,60672,0.0841,Low,No
41,Research & Development,Laboratory Technician,No,10+ yrs,Low,2206,26472,0.084,Low,No
2056,Sales,Sales Executive,No,10+ yrs,Very High,12031,144372,0.0833,Low,No
1596,Research & Development,Laboratory Technician,No,10+ yrs,Mid,3407,40884,0.0831,Low,No
1163,Sales,Sales Executive,No,5-10 yrs,High,5714,68568,0.0829,Low,No
1412,Research & Development,Manufacturing Director,No,2-5 yrs,Very High,9362,112344,0.0825,Low,No
1190,Sales,Sales Representative,No,0-2 yrs,Low,2827,33924,0.0824,Low,No
484,Sales,Sales Representative,No,2-5 yrs,Low,2610,31320,0.0822,Low,No
1568,Sales,Sales Executive,No,2-5 yrs,Very High,9250,111000,0.0818,Low,No
1002,Research & Development,Laboratory Technician,Yes,5-10 yrs,Mid,3633,43596,0.0817,Low,No
975,Sales,Sales Executive,No,5-10 yrs,Mid,4601,55212,0.0814,Low,No
1739,Sales,Sales Executive,No,2-5 yrs,Very High,9610,115320,0.0812,Low,No
110,Research & Development,Manufacturing Director,No,5-10 yrs,Mid,4325,51900,0.0809,Low,No
1998,Research & Development,Research Scientist,Yes,2-5 yrs,High,5410,64920,0.0809,Low,No
543,Research & Development,Manufacturing Director,Yes,5-10 yrs,High,7969,95628,0.0805,Low,No
1202,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2168,26016,0.0803,Low,No
238,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2088,25056,0.0802,Low,No
957,Research & Development,Laboratory Technician,Yes,10+ yrs,Mid,4721,56652,0.0799,Low,No
2062,Research & Development,Healthcare Representative,No,5-10 yrs,Very High,9991,119892,0.0799,Low,No
1220,Sales,Sales Executive,No,10+ yrs,Mid,4539,54468,0.0798,Low,No
230,Sales,Sales Executive,No,5-10 yrs,High,8686,104232,0.0795,Low,No
2012,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2406,28872,0.0794,Low,No
983,Sales,Sales Executive,Yes,5-10 yrs,High,5666,67992,0.0794,Low,No
784,Research & Development,Research Scientist,No,2-5 yrs,Mid,3505,42060,0.0793,Low,No
1430,Research & Development,Research Director,No,2-5 yrs,Very High,16422,197064,0.0793,Low,No
164,Research & Development,Research Scientist,No,5-10 yrs,Low,2368,28416,0.079,Low,No
428,Research & Development,Manager,No,10+ yrs,Very High,11878,142536,0.0789,Low,No
577,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,4230,50760,0.0786,Low,No
524,Research & Development,Manufacturing Director,No,10+ yrs,Mid,4306,51672,0.0786,Low,No
829,Human Resources,Human Resources,No,5-10 yrs,Low,2143,25716,0.0782,Low,No
1993,Research & Development,Healthcare Representative,No,10+ yrs,High,8633,103596,0.0779,Low,No
698,Human Resources,Human Resources,No,5-10 yrs,Very High,10725,128700,0.0776,Low,No
174,Sales,Sales Executive,No,2-5 yrs,Very High,9208,110496,0.0776,Low,No
852,Research & Development,Healthcare Representative,No,5-10 yrs,High,5933,71196,0.0774,Low,No
624,Research & Development,Healthcare Representative,No,2-5 yrs,Very High,10527,126324,0.0773,Low,No
1560,Sales,Sales Executive,No,2-5 yrs,High,6392,76704,0.0768,Low,No
1294,Research & Development,Manufacturing Director,Yes,10+ yrs,High,5410,64920,0.0766,Low,No
1768,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2766,33192,0.0764,Low,No
875,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2515,30180,0.0764,Low,No
760,Human Resources,Human Resources,No,5-10 yrs,High,6389,76668,0.0763,Low,No
1980,Research & Development,Manufacturing Director,Yes,5-10 yrs,Mid,4440,53280,0.0762,Low,No
74,Sales,Sales Executive,No,5-10 yrs,Very High,9069,108828,0.0762,Low,No
453,Sales,Sales Executive,Yes,2-5 yrs,High,7457,89484,0.0759,Low,No
24,Research & Development,Research Scientist,Yes,2-5 yrs,Mid,3944,47328,0.0756,Low,No
1364,Sales,Sales Representative,No,0-2 yrs,Low,2534,30408,0.0754,Low,No
1216,Research & Development,Laboratory Technician,No,5-10 yrs,Low,3196,38352,0.0752,Low,No
1028,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3917,47004,0.075,Low,No
1833,Sales,Sales Executive,No,2-5 yrs,Very High,9637,115644,0.0748,Low,No
106,Sales,Sales Executive,No,0-2 yrs,Very High,10239,122868,0.0746,Low,No
1966,Research & Development,Manufacturing Director,No,0-2 yrs,Very High,9679,116148,0.0736,Low,No
1403,Sales,Sales Executive,Yes,5-10 yrs,High,5769,69228,0.0733,Low,No
497,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3816,45792,0.073,Low,No
864,Sales,Sales Executive,Yes,5-10 yrs,Very High,10761,129132,0.0729,Low,No
91,Sales,Sales Executive,No,2-5 yrs,High,5473,65676,0.0726,Low,No
463,Sales,Sales Executive,Yes,5-10 yrs,High,8268,99216,0.0726,Low,No
1062,Research & Development,Healthcare Representative,No,2-5 yrs,Mid,4107,49284,0.0725,Low,No
1074,Research & Development,Manager,No,5-10 yrs,Very High,16756,201072,0.0724,Low,No
872,Research & Development,Manufacturing Director,No,2-5 yrs,Mid,4775,57300,0.0724,Low,No
1076,Sales,Sales Executive,No,0-2 yrs,Very High,10798,129576,0.0722,Low,No
1185,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2376,28512,0.072,Low,No
56,Sales,Sales Executive,No,5-10 yrs,High,8726,104712,0.072,Low,No
611,Research & Development,Manufacturing Director,No,2-5 yrs,Mid,4262,51144,0.0719,Low,No
80,Research & Development,Research Director,Yes,10+ yrs,Very High,18740,224880,0.0717,Low,No
389,Research & Development,Laboratory Technician,Yes,10+ yrs,High,5415,64980,0.0716,Low,No
1461,Human Resources,Human Resources,No,2-5 yrs,Low,2109,25308,0.0715,Low,No
1171,Sales,Sales Executive,No,5-10 yrs,Mid,5155,61860,0.0714,Low,No
206,Research & Development,Laboratory Technician,No,10+ yrs,Low,2348,28176,0.0711,Low,No
425,Research & Development,Laboratory Technician,No,10+ yrs,High,5210,62520,0.0708,Low,No
573,Sales,Sales Executive,No,10+ yrs,Very High,10266,123192,0.0707,Low,No
621,Sales,Sales Executive,No,10+ yrs,High,5337,64044,0.0701,Low,No
374,Research & Development,Manager,Yes,10+ yrs,Very High,19045,228540,0.0698,Low,No
112,Research & Development,Manufacturing Director,No,5-10 yrs,High,7260,87120,0.0698,Low,No
799,Research & Development,Manufacturing Director,Yes,5-10 yrs,High,5485,65820,0.0698,Low,No
1434,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2099,25188,0.0698,Low,No
1321,Research & Development,Manager,Yes,5-10 yrs,Very High,11916,142992,0.0696,Low,No
245,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2288,27456,0.0693,Low,No
1784,Sales,Sales Executive,No,10+ yrs,High,5468,65616,0.069,Low,No
511,Research & Development,Research Scientist,No,2-5 yrs,Low,2244,26928,0.0689,Low,No
51,Research & Development,Research Scientist,Yes,0-2 yrs,Mid,3419,41028,0.0687,Low,No
1283,Research & Development,Manufacturing Director,No,5-10 yrs,Very High,10512,126144,0.0686,Low,No
1594,Research & Development,Laboratory Technician,Yes,2-5 yrs,High,5562,66744,0.0686,Low,No
73,Research & Development,Research Director,Yes,10+ yrs,Very High,13458,161496,0.0681,Low,No
162,Research & Development,Research Director,No,10+ yrs,Very High,19537,234444,0.0681,Low,No
218,Research & Development,Research Scientist,No,2-5 yrs,Low,2024,24288,0.0675,Low,No
275,Research & Development,Manufacturing Director,Yes,5-10 yrs,High,6804,81648,0.0674,Low,No
1602,Sales,Manager,No,10+ yrs,Very High,17567,210804,0.0674,Low,No
1633,Research & Development,Manufacturing Director,No,5-10 yrs,Mid,5042,60504,0.0672,Low,No
1721,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3477,41724,0.0672,Low,No
1576,Research & Development,Research Scientist,No,5-10 yrs,Low,2367,28404,0.0669,Low,No
532,Sales,Sales Executive,No,5-10 yrs,Very High,13212,158544,0.0665,Low,No
856,Research & Development,Research Scientist,No,5-10 yrs,Low,2559,30708,0.0665,Low,No
1609,Research & Development,Research Scientist,No,5-10 yrs,Low,2141,25692,0.0664,Low,No
722,Sales,Sales Executive,No,10+ yrs,High,5396,64752,0.0664,Low,No
1314,Human Resources,Human Resources,No,5-10 yrs,Mid,3423,41076,0.0662,Low,No
2061,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2571,30852,0.0661,Low,No
1011,Research & Development,Manufacturing Director,No,2-5 yrs,Mid,4148,49776,0.066,Low,No
776,Sales,Manager,No,10+ yrs,Very High,16856,202272,0.0656,Low,No
613,Sales,Manager,No,5-10 yrs,Very High,11557,138684,0.0656,Low,No
1754,Sales,Sales Executive,No,5-10 yrs,High,7140,85680,0.0656,Low,No
215,Sales,Sales Executive,No,10+ yrs,Very High,10855,130260,0.0656,Low,No
1356,Sales,Sales Executive,No,10+ yrs,High,6125,73500,0.0656,Low,No
473,Sales,Manager,No,0-2 yrs,Very High,12504,150048,0.0653,Low,No
1760,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2468,29616,0.065,Low,No
304,Research & Development,Laboratory Technician,No,10+ yrs,High,5914,70968,0.0649,Low,No
97,Research & Development,Laboratory Technician,No,0-2 yrs,Low,3038,36456,0.0649,Low,No
1617,Research & Development,Laboratory Technician,No,5-10 yrs,Low,3211,38532,0.0643,Low,No
1012,Research & Development,Research Scientist,No,0-2 yrs,Low,1051,12612,0.0639,Low,No
384,Research & Development,Manufacturing Director,No,5-10 yrs,High,6397,76764,0.0636,Low,No
712,Sales,Sales Executive,No,2-5 yrs,High,8120,97440,0.0632,Low,No
141,Research & Development,Research Director,Yes,5-10 yrs,Very High,18172,218064,0.063,Low,No
1682,Research & Development,Healthcare Representative,No,2-5 yrs,High,5347,64164,0.0629,Low,No
2064,Research & Development,Manufacturing Director,Yes,5-10 yrs,High,6142,73704,0.0628,Low,No
1465,Research & Development,Manufacturing Director,Yes,2-5 yrs,Very High,9380,112560,0.0625,Low,No
1428,Sales,Sales Executive,No,2-5 yrs,Mid,4779,57348,0.0625,Low,No
1003,Sales,Sales Executive,Yes,5-10 yrs,Mid,4163,49956,0.0624,Low,No
12,Research & Development,Manufacturing Director,No,5-10 yrs,Very High,9526,114312,0.0624,Low,No
855,Sales,Sales Executive,No,5-10 yrs,Mid,4037,48444,0.0619,Low,No
498,Sales,Sales Executive,No,5-10 yrs,High,5253,63036,0.0618,Low,No
1727,Research & Development,Healthcare Representative,No,10+ yrs,High,5562,66744,0.0618,Low,No
747,Sales,Sales Executive,No,5-10 yrs,High,5304,63648,0.0618,Low,No
1373,Research & Development,Manufacturing Director,Yes,10+ yrs,Very High,13402,160824,0.0615,Low,No
1725,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3907,46884,0.0615,Low,No
1179,Sales,Sales Executive,No,10+ yrs,High,6578,78936,0.0615,Low,No
1529,Research & Development,Healthcare Representative,No,10+ yrs,High,8606,103272,0.0613,Low,No
195,Sales,Sales Executive,No,5-10 yrs,Mid,4668,56016,0.0611,Low,No
184,Human Resources,Human Resources,Yes,10+ yrs,High,6347,76164,0.061,Low,No
462,Research & Development,Manufacturing Director,Yes,10+ yrs,High,7143,85716,0.061,Low,No
1852,Research & Development,Laboratory Technician,No,10+ yrs,Mid,3812,45744,0.0609,Low,No
152,Sales,Sales Executive,No,5-10 yrs,High,7428,89136,0.0606,Low,No
1073,Research & Development,Manufacturing Director,No,10+ yrs,Very High,8858,106296,0.0606,Low,No
639,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2725,32700,0.0602,Low,No
1394,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2996,35952,0.0601,Low,No
1541,Sales,Sales Representative,Yes,10+ yrs,Low,2308,27696,0.0601,Low,No
2018,Sales,Sales Executive,Yes,5-10 yrs,Mid,4907,58884,0.0596,Low,No
1881,Research & Development,Laboratory Technician,No,10+ yrs,Mid,4197,50364,0.0587,Low,No
1401,Research & Development,Manufacturing Director,Yes,5-10 yrs,Very High,13247,158964,0.0587,Low,No
615,Sales,Sales Executive,No,0-2 yrs,Very High,10932,131184,0.0585,Low,No
1545,Research & Development,Manufacturing Director,No,5-10 yrs,Mid,4320,51840,0.0583,Low,No
1083,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3955,47460,0.0581,Low,No
486,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3452,41424,0.0581,Low,No
1293,Sales,Sales Executive,No,10+ yrs,Very High,10231,122772,0.0579,Low,No
1124,Sales,Manager,No,10+ yrs,Very High,17465,209580,0.0578,Low,No
481,Sales,Sales Executive,No,10+ yrs,Very High,9699,116388,0.0575,Low,No
1417,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3578,42936,0.0573,Low,No
1736,Research & Development,Manufacturing Director,No,5-10 yrs,High,5238,62856,0.0573,Low,No
430,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2455,29460,0.0572,Low,No
2034,Research & Development,Manufacturing Director,No,10+ yrs,Very High,13570,162840,0.0571,Low,No
1119,Sales,Sales Executive,Yes,5-10 yrs,High,8740,104880,0.0567,Low,No
194,Research & Development,Research Scientist,No,5-10 yrs,Low,2632,31584,0.0566,Low,No
1048,Sales,Manager,Yes,5-10 yrs,Very High,11904,142848,0.0562,Low,No
1673,Sales,Sales Executive,No,10+ yrs,High,5476,65712,0.0561,Low,No
176,Sales,Sales Executive,Yes,5-10 yrs,High,8189,98268,0.056,Low,No
1374,Research & Development,Research Scientist,No,5-10 yrs,Low,2029,24348,0.0559,Low,No
404,Sales,Sales Executive,No,10+ yrs,Very High,13525,162300,0.0559,Low,No
717,Research & Development,Healthcare Representative,No,5-10 yrs,High,8621,103452,0.0558,Low,No
84,Research & Development,Manager,Yes,5-10 yrs,Very High,14756,177072,0.0555,Low,No
1909,Sales,Sales Executive,No,5-10 yrs,Mid,4393,52716,0.0552,Low,No
1550,Human Resources,Manager,Yes,10+ yrs,Very High,16437,197244,0.0552,Low,No
1548,Sales,Sales Executive,No,5-10 yrs,High,5473,65676,0.0547,Low,No
211,Research & Development,Manufacturing Director,No,0-2 yrs,High,6132,73584,0.0545,Low,No
346,Research & Development,Research Scientist,No,5-10 yrs,Low,2340,28080,0.0544,Low,No
754,Sales,Sales Executive,No,2-5 yrs,High,6804,81648,0.0543,Low,No
2,Research & Development,Research Scientist,No,10+ yrs,Mid,5130,61560,0.054,Low,No
1812,Sales,Sales Executive,No,2-5 yrs,Mid,4127,49524,0.0539,Low,No
15,Research & Development,Laboratory Technician,Yes,5-10 yrs,Mid,4193,50316,0.0537,Low,No
1553,Research & Development,Healthcare Representative,No,10+ yrs,High,7441,89292,0.0532,Low,No
874,Research & Development,Laboratory Technician,Yes,2-5 yrs,Low,2818,33816,0.0531,Low,No
217,Research & Development,Research Scientist,No,2-5 yrs,Low,2323,27876,0.0531,Low,No
431,Research & Development,Healthcare Representative,Yes,5-10 yrs,Very High,13964,167568,0.0528,Low,No
1731,Sales,Sales Executive,No,0-2 yrs,Mid,4978,59736,0.0527,Low,No
5,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2909,34908,0.0527,Low,No
131,Sales,Sales Executive,No,10+ yrs,Very High,13872,166464,0.0526,Low,No
1790,Research & Development,Healthcare Representative,Yes,10+ yrs,High,8321,99852,0.0525,Low,No
1480,Research & Development,Laboratory Technician,No,10+ yrs,Mid,3673,44076,0.0524,Low,No
1161,Research & Development,Healthcare Representative,No,5-10 yrs,High,5731,68772,0.0524,Low,No
1503,Sales,Sales Executive,Yes,5-10 yrs,Mid,4591,55092,0.0522,Low,No
495,Research & Development,Research Scientist,No,2-5 yrs,Low,2201,26412,0.0521,Low,No
1257,Research & Development,Research Scientist,No,10+ yrs,Mid,3692,44304,0.0521,Low,No
1943,Sales,Sales Executive,Yes,0-2 yrs,Mid,5087,61044,0.0519,Low,No
786,Sales,Sales Executive,No,5-10 yrs,High,6274,75288,0.0516,Low,No
1936,Research & Development,Manufacturing Director,No,10+ yrs,Mid,5151,61812,0.0514,Low,No
192,Research & Development,Research Scientist,No,5-10 yrs,Mid,3452,41424,0.0511,Low,No
1285,Research & Development,Laboratory Technician,No,10+ yrs,Mid,4444,53328,0.0511,Low,No
227,Research & Development,Research Scientist,No,5-10 yrs,Low,2451,29412,0.051,Low,No
1698,Research & Development,Laboratory Technician,No,10+ yrs,Low,2028,24336,0.0509,Low,No
690,Sales,Sales Executive,No,5-10 yrs,High,5561,66732,0.0509,Low,No
2038,Research & Development,Research Scientist,No,2-5 yrs,Low,2439,29268,0.0507,Low,No
1281,Sales,Sales Executive,Yes,2-5 yrs,Mid,4538,54456,0.0507,Low,No
689,Research & Development,Manufacturing Director,No,10+ yrs,Very High,9434,113208,0.0506,Low,No
1289,Human Resources,Human Resources,No,10+ yrs,Mid,4490,53880,0.0505,Low,No
16,Research & Development,Research Scientist,No,5-10 yrs,Low,2911,34932,0.0503,Low,No
169,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2523,30276,0.0502,Low,No
1997,Research & Development,Manufacturing Director,No,5-10 yrs,High,5321,63852,0.0501,Low,No
98,Research & Development,Manufacturing Director,No,10+ yrs,Mid,4424,53088,0.05,Low,No
721,Research & Development,Healthcare Representative,No,10+ yrs,Mid,4553,54636,0.05,Low,No
1158,Research & Development,Laboratory Technician,Yes,0-2 yrs,Mid,4766,57192,0.0497,Low,No
1469,Sales,Sales Executive,No,5-10 yrs,High,8463,101556,0.0496,Low,No
1885,Research & Development,Research Scientist,Yes,5-10 yrs,Mid,4284,51408,0.0493,Low,No
657,Research & Development,Research Scientist,No,0-2 yrs,Low,2836,34032,0.0491,Low,No
817,Research & Development,Research Director,No,10+ yrs,Very High,11691,140292,0.049,Low,No
1043,Research & Development,Manufacturing Director,Yes,10+ yrs,Very High,10880,130560,0.049,Low,No
2065,Sales,Sales Executive,No,5-10 yrs,High,5390,64680,0.0486,Low,No
1204,Sales,Manager,No,10+ yrs,Very High,17048,204576,0.0486,Low,No
483,Research & Development,Laboratory Technician,Yes,5-10 yrs,Low,2213,26556,0.0485,Low,No
198,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2720,32640,0.0484,Low,No
1014,Research & Development,Healthcare Representative,Yes,10+ yrs,Very High,10388,124656,0.0484,Low,No
1994,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2008,24096,0.0481,Low,No
808,Sales,Sales Executive,No,2-5 yrs,High,6500,78000,0.0481,Low,No
916,Sales,Sales Executive,No,2-5 yrs,Mid,4908,58896,0.048,Low,No
407,Research & Development,Laboratory Technician,No,0-2 yrs,Mid,3688,44256,0.0479,Low,No
1475,Research & Development,Research Scientist,No,5-10 yrs,Mid,3420,41040,0.0478,Low,No
474,Research & Development,Research Scientist,Yes,5-10 yrs,High,5974,71688,0.0478,Low,No
224,Research & Development,Research Scientist,Yes,0-2 yrs,Low,2566,30792,0.0478,Low,No
302,Sales,Sales Executive,No,10+ yrs,Very High,8865,106380,0.0478,Low,No
171,Research & Development,Research Scientist,No,2-5 yrs,Mid,4739,56868,0.0478,Low,No
439,Research & Development,Research Scientist,No,5-10 yrs,Mid,5055,60660,0.0477,Low,No
1648,Research & Development,Research Scientist,No,2-5 yrs,Low,2580,30960,0.0476,Low,No
1270,Research & Development,Research Scientist,No,0-2 yrs,Low,1223,14676,0.0475,Low,No
116,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2075,24900,0.0475,Low,No
516,Sales,Sales Executive,No,5-10 yrs,High,5715,68580,0.0472,Low,No
2014,Research & Development,Research Scientist,No,5-10 yrs,Mid,4108,49296,0.0472,Low,No
944,Research & Development,Laboratory Technician,No,10+ yrs,High,7403,88836,0.0471,Low,No
1225,Research & Development,Research Scientist,No,10+ yrs,Mid,4541,54492,0.0471,Low,No
653,Sales,Sales Executive,No,5-10 yrs,High,5460,65520,0.047,Low,No
800,Sales,Sales Executive,No,2-5 yrs,Mid,4342,52104,0.0468,Low,No
1912,Sales,Sales Executive,Yes,5-10 yrs,High,6583,78996,0.0467,Low,No
14,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2426,29112,0.0466,Low,No
1583,Sales,Sales Executive,No,2-5 yrs,Mid,4198,50376,0.0461,Low,No
316,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3212,38544,0.0458,Low,No
1749,Sales,Sales Executive,No,5-10 yrs,High,8346,100152,0.0457,Low,No
267,Research & Development,Research Scientist,Yes,5-10 yrs,Mid,3564,42768,0.0455,Low,No
1336,Research & Development,Manager,No,10+ yrs,Very High,19187,230244,0.0453,Low,No
1243,Sales,Sales Executive,Yes,10+ yrs,Very High,10377,124524,0.0453,Low,No
1097,Research & Development,Research Scientist,No,5-10 yrs,Mid,3660,43920,0.0453,Low,No
134,Research & Development,Research Scientist,No,0-2 yrs,Low,2956,35472,0.0449,Low,No
1527,Sales,Manager,No,10+ yrs,Very High,16606,199272,0.0446,Low,No
63,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2269,27228,0.0445,Low,No
1631,Research & Development,Manufacturing Director,No,2-5 yrs,High,5768,69216,0.0443,Low,No
1962,Sales,Sales Executive,Yes,10+ yrs,Mid,5204,62448,0.0443,Low,No
104,Research & Development,Laboratory Technician,Yes,10+ yrs,Mid,5126,61512,0.0442,Low,No
1547,Research & Development,Healthcare Representative,Yes,10+ yrs,Very High,10124,121488,0.0442,Low,No
1732,Sales,Sales Executive,Yes,10+ yrs,Very High,10368,124416,0.0436,Low,No
85,Research & Development,Manufacturing Director,No,5-10 yrs,High,6499,77988,0.0436,Low,No
1172,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2258,27096,0.0434,Low,No
1322,Research & Development,Manufacturing Director,No,5-10 yrs,Mid,4534,54408,0.0432,Low,No
1206,Research & Development,Research Scientist,No,0-2 yrs,Low,2290,27480,0.0432,Low,No
525,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2258,27096,0.0432,Low,No
507,Sales,Sales Executive,Yes,5-10 yrs,Mid,4260,51120,0.0431,Low,No
900,Sales,Sales Representative,No,5-10 yrs,Low,2973,35676,0.0431,Low,No
60,Sales,Sales Executive,No,5-10 yrs,Mid,4568,54816,0.043,Low,No
1441,Research & Development,Research Scientist,No,2-5 yrs,Low,2066,24792,0.043,Low,No
1431,Research & Development,Research Scientist,No,2-5 yrs,Low,2996,35952,0.043,Low,No
1050,Sales,Sales Executive,No,10+ yrs,High,7525,90300,0.0428,Low,No
981,Sales,Manager,No,10+ yrs,Very High,14852,178224,0.0428,Low,No
1265,Research & Development,Research Scientist,No,0-2 yrs,Low,2585,31020,0.0426,Low,No
1039,Sales,Sales Executive,Yes,10+ yrs,Very High,13320,159840,0.0424,Low,No
1599,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,4876,58512,0.0424,Low,No
2031,Research & Development,Manager,No,10+ yrs,Very High,18880,226560,0.0424,Low,No
1656,Research & Development,Research Director,No,10+ yrs,Very High,13269,159228,0.0422,Low,No
1022,Research & Development,Healthcare Representative,No,2-5 yrs,Mid,4240,50880,0.042,Low,No
408,Research & Development,Manufacturing Director,No,2-5 yrs,High,5482,65784,0.0417,Low,No
1775,Research & Development,Manufacturing Director,Yes,2-5 yrs,Very High,12965,155580,0.0414,Low,No
1192,Research & Development,Laboratory Technician,No,10+ yrs,Low,3131,37572,0.0414,Low,No
1137,Sales,Sales Executive,No,5-10 yrs,Mid,4968,59616,0.0414,Low,No
124,Research & Development,Healthcare Representative,Yes,10+ yrs,Very High,10673,128076,0.0412,Low,No
1513,Research & Development,Laboratory Technician,No,2-5 yrs,Low,3180,38160,0.0412,Low,No
